ym,month,ret_dn,dts_p,cum_dn,ret_cdx,dts_cdx,theta_cdx,ret_dn_hedged,cum_dn_hedged
2017-04,2017-04,0.010148305057248432,0.2765650791666666,0.010148305057248397,0.0011764999999999996,0.031989000000000004,-8.645630659497533,-2.3279413650411848e-05,-2.32794136504344e-05
2017-05,2017-05,0.030245958007162475,0.2651529172727273,0.040701208273016265,0.0011965000000000022,0.0307925,-8.610957774546636,0.019942947029917404,0.019919203356153714
2017-06,2017-06,-0.005937811008395882,0.259246011,0.034521721182081855,0.0005330000000000005,0.030259499999999998,-8.567425469687207,-0.010504248783739168,0.009205718304787558
2017-07,2017-07,0.017724498492035404,0.240108655,0.05285809986915169,0.0016465000000000013,0.028613,-8.391593156956628,0.003907740359106305,0.013149432220848079
2017-08,2017-08,0.0021661319207766385,0.23424169454545454,0.05513872940732645,-0.0003330000000000043,0.028946000000000003,-8.092368359892715,0.004860890584620947,0.018074240756744464
2017-09,2017-09,-0.003950301349424289,0.2416620853846154,0.05097061346071885,0.0011300000000000025,0.027816,-8.687880550209066,-0.013767606371160555,0.00405779535338735
2017-10,2017-10,0.010103980943050926,0.22675505857142852,0.06158960051083251,0.0017409999999999995,0.026075,-8.696263032461305,-0.005036212996464201,-0.0009988535647725838
2017-11,2017-11,-0.0005391293475450899,0.2163601126666667,0.06101726640214844,3.099999999999804e-05,0.026044,-8.307483975835765,-0.0007966613507959824,-0.0017947191675384833
2017-12,2017-12,-0.00022194580926810964,0.21820784066666665,0.060781778066309355,0.0015340000000000015,0.02451,-8.902808676730585,-0.01387885431937284,-0.015648664841040882
2018-01,2018-01,-0.022495447380819263,0.20589229799999997,0.03691901739528691,0.0008699999999999984,0.02364,-8.709488071065989,-0.03007270200264666,-0.04525076920918358
2018-02,2018-02,-0.025794741157373496,0.1876020146666667,0.010171959740417513,-0.004487999999999996,0.028128,-6.669582432688663,0.004138344800533197,-0.041299687694127285
2018-03,2018-03,-0.0006811418838679578,0.2046636066666667,0.009483889308729454,-0.004650500000000003,0.0327785,-6.243836864611458,0.028355821455007646,-0.014114952809521797
2018-04,2018-04,-0.026792223962271138,0.21185172214285714,-0.017562429139934554,0.0024295000000000002,0.030349,-6.980517385839966,-0.04375139095116934,-0.05724879494206436
2018-05,2018-05,-0.0072588210985335445,0.21538333461538464,-0.024693767707285708,-0.003055000000000002,0.033404,-6.447830637510018,0.012439301499059575,-0.045521628463746966
2018-06,2018-06,-0.0016614310767793395,0.22694764615384613,-0.02631417179099338,-0.0003934999999999963,0.0337975,-6.71492406698265,0.0009808915435783085,-0.04458538870057871
2018-07,2018-07,-0.0025960954513809856,0.24575470499999996,-0.02884195314068083,0.004805499999999997,0.028992000000000004,-8.476638555463573,-0.04333058202966117,-0.0859840598878252
2018-08,2018-08,-0.011508323568857448,0.21499727928571427,-0.04001835418043753,-0.0009774999999999975,0.0299695,-7.1738694100907345,-0.004495866220493774,-0.09009335327796841
2018-09,2018-09,-0.019990035272330942,0.22947906333333334,-0.05920842114116087,0.00037950000000000136,0.029589999999999998,-7.755291089331982,-0.02293316824073244,-0.11096039549060543
2018-10,2018-10,-0.022791990337270314,0.21947324357142856,-0.08065093371589682,-0.004789,0.034379,-6.383933318928083,0.007780666327076274,-0.104043074976362
2018-11,2018-11,-0.0047878520412253335,0.23488604333333332,-0.08505264101950383,-0.0031030000000000033,0.037482,-6.266635807409778,0.014657518869167229,-0.09091056944186693
2018-12,2018-12,-0.005305567590281361,0.257228728,-0.08990695607412424,-0.006392499999999992,0.0438745,-5.862829844214749,0.032172572188861374,-0.061662824111104575
2019-01,2019-01,0.03018470996369902,0.268654423125,-0.06243606150324177,0.010817999999999994,0.033056499999999996,-8.12712849590852,-0.057734566105039305,-0.11583731382127793
2019-02,2019-02,0.0028591816156016076,0.25175257125000006,-0.05975539592684076,0.002976999999999997,0.030079500000000002,-8.36957300653269,-0.022057037224846185,-0.135339323103142
2019-03,2019-03,0.0350818740498238,0.231923899375,-0.02676985315071978,-0.001855499999999996,0.031935,-7.262373551745734,0.048557208175087976,-0.09335381461424874
2019-04,2019-04,0.011670090459312516,0.22758286466666666,-0.015412169299258593,0.003009999999999996,0.028925,-7.868033350619418,-0.012012689926051902,-0.10424507411192552
2019-05,2019-05,0.011529205526752151,0.220474325625,-0.004060653839970674,-0.005584999999999995,0.03451,-6.388708363517821,0.047210141736999146,-0.061956357099134274
2019-06,2019-06,0.027691111453840185,0.2427907613333333,0.023518013595811516,0.0068099999999999975,0.0277,-8.765009434416365,-0.03199860279453524,-0.09197244303225793
2019-07,2019-07,0.020398593996473764,0.24194247062500002,0.044396342003229616,0.0016249999999999988,0.026075,-9.27871411792905,0.0053206835548390684,-0.0871411157425589
2019-08,2019-08,0.026005628059239002,0.24868977000000003,0.07155652481979535,-0.0007950000000000014,0.02687,-9.255294752512096,0.033363587387486134,-0.056684868585192616
2019-09,2019-09,-0.008953208732421702,0.24307194,0.06196265558449543,-0.003029999999999999,0.0299,-8.129496321070233,0.01567916512042109,-0.0418944748791481
2019-10,2019-10,-0.002778162169241974,0.2710152525,0.05901235110960279,0.0023720000000000034,0.027527999999999997,-9.845076013513516,-0.02613068247329607,-0.06693042613199174
2019-11,2019-11,0.009313390991246506,0.252288141875,0.06887534720004584,0.0025129999999999944,0.025015000000000003,-10.085474390365778,-0.016031406151742637,-0.08188884343850311
